Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,12.620000,12.810000,12.600000,12.738000,10.533198,4846202
2022-01-04,12.810000,13.144000,12.810000,13.040000,10.782927,6062208
2022-01-05,13.074000,13.332000,13.038000,13.170000,10.890424,6300320
2022-01-06,13.092000,13.332000,13.000000,13.322000,11.016114,7442277
2022-01-07,13.340000,13.518000,13.306000,13.456000,11.126921,8210181
2022-01-10,13.534000,13.776000,13.516000,13.528000,11.186459,6403245
2022-01-11,13.590000,13.668000,13.502000,13.502000,11.164959,4447851
2022-01-12,13.592000,13.944000,13.566000,13.792000,11.404763,6882544
2022-01-13,13.750000,13.928000,13.742000,13.898000,11.492416,5653992
2022-01-14,13.806000,13.844000,13.596000,13.778000,11.393187,7000816
2022-01-17,13.880000,13.892000,13.686000,13.728000,11.351841,4331927
2022-01-18,13.692000,13.710000,13.552000,13.668000,11.302227,5913413
2022-01-19,13.660000,13.700000,13.440000,13.540000,11.196382,5865550
2022-01-20,13.466000,13.612000,13.332000,13.490000,11.155036,3958223
2022-01-21,13.298000,13.362000,13.122000,13.284000,10.984693,7371683
2022-01-24,13.216000,13.282000,12.778000,12.862000,10.635736,8881109
2022-01-25,13.040000,13.156000,12.920000,13.074000,10.811041,5362979
2022-01-26,13.140000,13.500000,13.128000,13.326000,11.019423,6205467
2022-01-27,13.240000,13.584000,13.140000,13.402000,11.082268,5154259
2022-01-28,13.400000,13.418000,13.060000,13.262000,10.966500,6194981
2022-01-31,13.400000,13.420000,13.164000,13.280000,10.981384,4089127
2022-02-01,13.400000,13.520000,13.342000,13.516000,11.176536,4402737
2022-02-02,13.570000,13.702000,13.446000,13.562000,11.214574,5471526
2022-02-03,13.616000,13.776000,13.522000,13.742000,11.363417,5515845
2022-02-04,13.818000,13.858000,13.462000,13.578000,11.227804,7826782
2022-02-07,13.720000,13.740000,13.510000,13.668000,11.302227,5156599
2022-02-08,13.634000,13.988000,13.564000,13.894000,11.489108,6608503
2022-02-09,13.920000,14.044000,13.834000,13.960000,11.543685,5158235
2022-02-10,14.050000,14.266000,14.000000,14.154000,11.704105,7342064
2022-02-11,14.040000,14.120000,13.856000,14.056000,11.623068,6322995
2022-02-14,13.634000,13.670000,13.394000,13.560000,11.212920,9771279
2022-02-15,13.440000,13.720000,13.408000,13.662000,11.297265,6084731
2022-02-16,13.720000,13.760000,13.390000,13.438000,11.112036,6958232
2022-02-17,13.400000,13.442000,13.022000,13.144000,10.868925,7776219
2022-02-18,13.140000,13.228000,12.966000,13.056000,10.796156,5418017
2022-02-21,13.140000,13.192000,12.714000,12.834000,10.612581,6743933
2022-02-22,12.446000,12.892000,12.330000,12.796000,10.581160,9132948
2022-02-23,12.852000,12.932000,12.632000,12.678000,10.483584,5656562
2022-02-24,12.014000,12.298000,11.642000,11.860000,9.807170,20011419
2022-02-25,11.900000,12.152000,11.432000,12.064000,9.975861,14035635
2022-02-28,11.600000,11.660000,11.284000,11.466000,9.481367,14160219
2022-03-01,11.370000,11.500000,10.504000,10.576000,8.745416,18873478
2022-03-02,10.308000,10.874000,10.156000,10.736000,8.877722,15921624
2022-03-03,10.856000,11.214000,10.684000,10.760000,8.897568,14911012
2022-03-04,10.600000,10.740000,9.966000,9.966000,8.240999,21204265
2022-03-07,9.425000,9.886000,8.970000,9.731000,8.046676,55409328
2022-03-08,9.500000,10.244000,9.442000,9.825000,8.124406,15031019
2022-03-09,10.360000,10.752000,10.146000,10.716000,8.861183,17394965
2022-03-10,10.824000,10.844000,9.872000,9.918000,8.201308,22582800
2022-03-11,9.983000,10.276000,9.559000,9.964000,8.239347,15586100
2022-03-14,10.120000,10.354000,10.022000,10.060000,8.318730,12436498
2022-03-15,10.040000,10.168000,9.808000,10.152000,8.394806,9744267
2022-03-16,10.250000,10.950000,10.212000,10.836000,8.960413,14328755
2022-03-17,10.960000,11.014000,10.592000,10.806000,8.935605,8834152
2022-03-18,10.850000,10.894000,10.688000,10.894000,9.008374,15421719
2022-03-21,10.870000,11.016000,10.796000,10.888000,9.003412,7718471
2022-03-22,10.950000,11.180000,10.868000,11.052000,9.139026,6698526
2022-03-23,11.048000,11.094000,10.764000,10.854000,8.975297,6394919
2022-03-24,10.880000,10.906000,10.612000,10.674000,8.826453,7431367
2022-03-25,10.674000,10.786000,10.516000,10.676000,8.828107,5860178
2022-03-28,10.772000,11.048000,10.728000,10.738000,8.879375,7444891
2022-03-29,10.876000,11.388000,10.810000,11.336000,9.373869,10283790
2022-03-30,11.318000,11.330000,11.048000,11.136000,9.208486,7221399
2022-03-31,11.162000,11.202000,10.806000,10.886000,9.001758,6834991
2022-04-01,10.946000,11.042000,10.896000,10.920000,9.029874,4057295
2022-04-04,10.960000,10.968000,10.758000,10.864000,8.983567,4944209
2022-04-05,10.800000,10.828000,10.180000,10.318000,8.532072,12861114
2022-04-06,10.318000,10.410000,9.890000,10.066000,8.323691,10381340
2022-04-07,10.100000,10.176000,9.887000,9.887000,8.175674,10729335
2022-04-08,9.930000,10.086000,9.755000,9.885000,8.174021,14056365
2022-04-11,9.960000,10.138000,9.852000,10.008000,8.275730,8919309
2022-04-12,9.867000,10.054000,9.687000,9.917000,8.200481,8462072
2022-04-13,9.781000,9.962000,9.740000,9.960000,8.236038,8312344
2022-04-14,10.000000,10.020000,9.891000,9.984000,8.255884,8337316
2022-04-19,10.038000,10.190000,9.950000,10.050000,8.310460,5947080
2022-04-20,10.114000,10.556000,10.070000,10.346000,8.555226,8887367
2022-04-21,10.420000,10.630000,10.376000,10.518000,8.697455,7176650
2022-04-22,10.440000,10.574000,10.340000,10.492000,8.675955,8313543
2022-04-25,10.410000,10.610000,10.316000,10.432000,8.626341,10391113
2022-04-26,10.552000,10.586000,10.288000,10.288000,8.507265,8571662
2022-04-27,10.300000,10.400000,10.076000,10.186000,8.422920,7003512
2022-04-28,10.300000,10.506000,10.086000,10.204000,8.437805,5925201
2022-04-29,10.300000,10.468000,10.220000,10.376000,8.580034,7809817
2022-05-02,10.324000,10.330000,9.901000,10.216000,8.447727,8243273
2022-05-03,10.300000,10.534000,10.264000,10.484000,8.669340,8554348
2022-05-04,10.528000,10.568000,10.350000,10.400000,8.599879,6671245
2022-05-05,10.300000,10.450000,9.972000,9.983000,8.255057,16018483
2022-05-06,9.960000,10.122000,9.874000,9.965000,8.240173,9544969
2022-05-09,9.949000,10.064000,9.876000,9.900000,8.186423,7044642
2022-05-10,10.000000,10.194000,9.949000,9.950000,8.227770,6905548
2022-05-11,10.000000,10.236000,9.928000,10.158000,8.399767,7930458
2022-05-12,9.963000,10.104000,9.840000,10.062000,8.320383,8630986
2022-05-13,10.162000,10.340000,10.082000,10.286000,8.505612,5541611
2022-05-16,10.238000,10.368000,10.172000,10.254000,8.479150,4907163
2022-05-17,10.400000,10.624000,10.358000,10.534000,8.710686,7117735
2022-05-18,10.600000,10.614000,10.442000,10.464000,8.652802,6688020
2022-05-19,10.200000,10.372000,10.192000,10.372000,8.576726,6109468
2022-05-20,10.506000,10.550000,10.348000,10.394000,8.594918,7166122
2022-05-23,10.552000,10.784000,10.502000,10.784000,8.917414,8169941
2022-05-24,10.700000,10.780000,10.610000,10.724000,8.867799,6200397
2022-05-25,10.860000,10.966000,10.754000,10.860000,8.980258,8936221
2022-05-26,10.898000,11.194000,10.882000,11.158000,9.226679,8591848
2022-05-27,11.238000,11.296000,11.080000,11.254000,9.306062,9479893
2022-05-30,10.350000,10.458000,10.256000,10.350000,9.439215,11180712
2022-05-31,10.340000,10.394000,10.278000,10.314000,9.406383,12355578
2022-06-01,10.406000,10.434000,10.110000,10.134000,9.242222,8190527
2022-06-02,10.170000,10.204000,10.096000,10.116000,9.225806,3997717
2022-06-03,10.184000,10.220000,10.004000,10.010000,9.129134,4280758
2022-06-06,10.116000,10.250000,10.100000,10.158000,9.264110,5038342
2022-06-07,10.100000,10.144000,9.906000,10.016000,9.134605,7103159
2022-06-08,10.008000,10.050000,9.880000,9.984000,9.105422,6889033
2022-06-09,9.920000,10.032000,9.796000,9.809000,8.945822,8262559
2022-06-10,9.710000,9.710000,9.162000,9.229000,8.416861,14718858
2022-06-13,9.090000,9.090000,8.730000,8.817000,8.041117,11657161
2022-06-14,8.926000,8.935000,8.712000,8.833000,8.055708,6972076
2022-06-15,9.122000,9.208000,9.042000,9.052000,8.255437,7998931
2022-06-16,9.050000,9.050000,8.776000,8.903000,8.119548,7333998
2022-06-17,8.974000,9.146000,8.901000,8.988000,8.197068,15108565
2022-06-20,9.008000,9.272000,8.884000,9.207000,8.396796,6400990
2022-06-21,9.212000,9.569000,9.207000,9.397000,8.570077,7629402
2022-06-22,9.209000,9.323000,9.080000,9.243000,8.429628,7918067
2022-06-23,9.230000,9.255000,8.845000,8.876000,8.094925,11753630
2022-06-24,9.001000,9.247000,8.900000,9.179000,8.371261,8164814
2022-06-27,9.229000,9.296000,9.036000,9.099000,8.298301,6050698
2022-06-28,9.180000,9.311000,9.137000,9.143000,8.338428,4443911
2022-06-29,9.027000,9.094000,8.953000,8.999000,8.207100,5827006
2022-06-30,8.900000,8.900000,8.574000,8.731000,7.962684,11517728
2022-07-01,8.695000,8.839000,8.632000,8.730000,7.961771,4773112
2022-07-04,8.816000,8.825000,8.662000,8.754000,7.983660,4321325
2022-07-05,8.753000,8.790000,8.355000,8.430000,7.688172,11042113
2022-07-06,8.520000,8.620000,8.322000,8.408000,7.668108,7655100
2022-07-07,8.560000,8.598000,8.446000,8.559000,7.805820,7426242
2022-07-08,8.573000,8.804000,8.488000,8.741000,7.971804,7331377
2022-07-11,8.529000,8.628000,8.454000,8.553000,7.800348,6261321
2022-07-12,8.519000,8.563000,8.322000,8.563000,7.809467,6946079
2022-07-13,8.551000,8.586000,8.322000,8.403000,7.663548,6790619
2022-07-14,8.352000,8.386000,8.132000,8.153000,7.435547,7166283
2022-07-15,8.156000,8.281000,8.094000,8.243000,7.517627,6193272
2022-07-18,8.400000,8.549000,8.330000,8.448000,7.704587,5680305
2022-07-19,8.381000,8.709000,8.347000,8.648000,7.886988,7414123
2022-07-20,8.750000,8.855000,8.561000,8.710000,7.943532,7693695
2022-07-21,8.681000,8.756000,8.415000,8.613000,7.855068,11059868
2022-07-22,8.560000,8.609000,8.412000,8.513000,7.763867,6862611
2022-07-25,8.533000,8.715000,8.463000,8.667000,7.904316,5732414
2022-07-26,8.649000,8.653000,8.530000,8.603000,7.845948,3831105
2022-07-27,8.652000,8.720000,8.589000,8.673000,7.909788,4284215
2022-07-28,8.764000,8.804000,8.665000,8.763000,7.991868,6209848
2022-07-29,8.850000,9.030000,8.829000,8.979000,8.188860,7622925
2022-08-01,8.964000,9.067000,8.900000,8.911000,8.126844,5300162
2022-08-02,8.900000,8.966000,8.780000,8.947000,8.159676,4797079
2022-08-03,8.965000,9.145000,8.871000,9.118000,8.315629,8243013
2022-08-04,9.380000,9.610000,9.258000,9.542000,8.702317,15126842
2022-08-05,9.587000,9.826000,9.571000,9.731000,8.874685,10310451
2022-08-08,9.880000,9.946000,9.766000,9.882000,9.012398,6173819
2022-08-09,9.873000,9.973000,9.824000,9.866000,8.997806,4863017
2022-08-10,9.858000,10.014000,9.828000,9.963000,9.086270,5790045
2022-08-11,10.042000,10.078000,9.985000,10.040000,9.156494,4271953
2022-08-12,10.060000,10.138000,10.050000,10.074000,9.187502,4581754
2022-08-15,10.090000,10.108000,9.940000,10.030000,9.147373,3976544
2022-08-16,10.060000,10.130000,10.016000,10.042000,9.158318,3680340
2022-08-17,10.100000,10.136000,9.898000,9.898000,9.026989,6280795
2022-08-18,9.878000,9.901000,9.743000,9.786000,8.924846,5689858
2022-08-19,9.730000,9.730000,9.520000,9.582000,8.738797,7959001
2022-08-22,9.557000,9.566000,9.220000,9.326000,8.505325,7322552
2022-08-23,9.286000,9.483000,9.256000,9.357000,8.533597,3808815
2022-08-24,9.327000,9.330000,9.186000,9.312000,8.492557,5075140
2022-08-25,9.409000,9.435000,9.204000,9.286000,8.468845,4160966
2022-08-26,9.310000,9.356000,9.074000,9.115000,8.312892,5922417
2022-08-29,9.042000,9.114000,8.972000,9.114000,8.311981,4363141
2022-08-30,9.131000,9.429000,9.114000,9.220000,8.408653,6613074
2022-08-31,9.275000,9.302000,9.130000,9.190000,8.381292,8980823
2022-09-01,9.100000,9.119000,8.938000,9.023000,8.228988,7848262
2022-09-02,9.084000,9.334000,9.049000,9.300000,8.481613,9299231
2022-09-05,9.096000,9.128000,8.948000,9.052000,8.255437,8378516
2022-09-06,9.052000,9.174000,9.019000,9.118000,8.315629,4743429
2022-09-07,9.019000,9.111000,8.947000,9.088000,8.288269,4862274
2022-09-08,9.131000,9.273000,9.046000,9.212000,8.401357,8170325
2022-09-09,9.270000,9.503000,9.264000,9.425000,8.595613,9687036
2022-09-12,9.478000,9.789000,9.459000,9.719000,8.863741,9815597
2022-09-13,9.733000,9.852000,9.645000,9.699000,8.845502,7386690
2022-09-14,9.594000,9.741000,9.502000,9.680000,8.828174,6076284
2022-09-15,9.700000,9.797000,9.549000,9.651000,8.801725,7638427
2022-09-16,9.490000,9.530000,9.284000,9.380000,8.554573,13923549
2022-09-19,9.341000,9.481000,9.254000,9.413000,8.584669,3728857
2022-09-20,9.460000,9.510000,9.218000,9.272000,8.456077,8186895
2022-09-21,9.200000,9.233000,9.047000,9.189000,8.380381,7103607
2022-09-22,9.000000,9.326000,8.996000,9.160000,8.353932,6098788
2022-09-23,9.150000,9.176000,8.885000,8.959000,8.170620,9291474
2022-09-26,8.824000,8.994000,8.742000,8.856000,8.076684,7423406
2022-09-27,8.960000,8.992000,8.676000,8.702000,7.936235,12294671
2022-09-28,8.586000,8.645000,8.302000,8.436000,7.693644,15160580
2022-09-29,8.431000,8.435000,8.175000,8.194000,7.472939,11022028
2022-09-30,8.300000,8.384000,8.232000,8.364000,7.627980,9447484
2022-10-03,8.246000,8.498000,8.126000,8.464000,7.719179,8313041
2022-10-04,8.582000,8.823000,8.574000,8.823000,8.046588,8122551
2022-10-05,8.751000,8.763000,8.508000,8.588000,7.832268,7145784
2022-10-06,8.641000,8.674000,8.485000,8.516000,7.766603,4439859
2022-10-07,8.500000,8.587000,8.405000,8.465000,7.720092,4490097
2022-10-10,8.380000,8.554000,8.340000,8.435000,7.692732,4481343
2022-10-11,8.350000,8.390000,8.237000,8.332000,7.598795,6192153
2022-10-12,8.325000,8.325000,8.114000,8.260000,7.533132,5085349
2022-10-13,8.181000,8.496000,8.125000,8.432000,7.689996,8969793
2022-10-14,8.600000,8.682000,8.484000,8.537000,7.785756,7912979
2022-10-17,8.555000,8.734000,8.511000,8.660000,7.897932,6230686
2022-10-18,8.767000,8.939000,8.732000,8.817000,8.041117,6642104
2022-10-19,8.878000,8.931000,8.759000,8.841000,8.063004,6719994
2022-10-20,8.803000,8.971000,8.770000,8.901000,8.117724,5207844
2022-10-21,8.833000,8.931000,8.726000,8.931000,8.145084,5701006
2022-10-24,8.961000,9.120000,8.934000,9.021000,8.227164,8169340
2022-10-25,9.060000,9.105000,8.875000,9.094000,8.293740,6930320
2022-10-26,9.111000,9.142000,9.044000,9.092000,8.291917,5334289
2022-10-27,9.100000,9.165000,8.914000,9.144000,8.339340,7832347
2022-10-28,9.100000,9.137000,8.991000,9.137000,8.332956,4627624
2022-10-31,9.148000,9.241000,9.084000,9.186000,8.377645,5715300
2022-11-01,9.250000,9.395000,9.240000,9.302000,8.483437,4943492
2022-11-02,9.356000,9.425000,9.233000,9.326000,8.505325,5853375
2022-11-03,9.300000,9.433000,9.286000,9.393000,8.566428,5401880
2022-11-04,9.462000,9.744000,9.419000,9.627000,8.779837,9498288
2022-11-07,9.600000,9.780000,9.576000,9.729000,8.872862,6802115
2022-11-08,9.659000,9.767000,9.642000,9.731000,8.874685,4864557
2022-11-09,9.700000,9.790000,9.586000,9.703000,8.849150,5383082
2022-11-10,9.360000,9.548000,9.145000,9.458000,8.625710,18093635
2022-11-11,9.562000,9.681000,9.476000,9.540000,8.700493,12593553
2022-11-14,9.587000,9.664000,9.493000,9.628000,8.780749,7604754
2022-11-15,9.650000,9.705000,9.572000,9.644000,8.795341,8139111
2022-11-16,9.494000,9.565000,9.438000,9.532000,8.693196,9206984
2022-11-17,9.579000,9.616000,9.473000,9.562000,8.720557,9219384
2022-11-18,9.600000,9.754000,9.566000,9.705000,8.850973,11690301
2022-11-21,9.695000,9.768000,9.693000,9.706000,8.851886,7457333
2022-11-22,9.706000,9.742000,9.636000,9.701000,8.847325,6613722
2022-11-23,9.750000,9.768000,9.682000,9.700000,8.846413,4741944
2022-11-24,9.741000,9.820000,9.726000,9.726000,8.870125,6345303
2022-11-25,9.799000,9.820000,9.692000,9.738000,8.881069,4766739
2022-11-28,9.718000,9.739000,9.594000,9.628000,8.780749,7661283
2022-11-29,9.602000,9.655000,9.568000,9.606000,8.760685,6942624
2022-11-30,9.727000,9.762000,9.562000,9.610000,8.764333,8900494
2022-12-01,9.696000,9.715000,9.502000,9.502000,8.665837,7867154
2022-12-02,9.480000,9.590000,9.431000,9.529000,8.690461,5669230
2022-12-05,9.530000,9.603000,9.470000,9.508000,8.671309,5134690
2022-12-06,9.450000,9.472000,9.359000,9.436000,8.605645,7425281
2022-12-07,9.400000,9.435000,9.293000,9.349000,8.526300,5980751
2022-12-08,9.390000,9.395000,9.305000,9.340000,8.518093,6096897
2022-12-09,9.371000,9.573000,9.371000,9.553000,8.712350,8847688
2022-12-12,9.541000,9.598000,9.492000,9.569000,8.726941,6055214
2022-12-13,9.614000,9.827000,9.598000,9.698000,8.844589,9895012
2022-12-14,9.700000,9.737000,9.621000,9.671000,8.819964,6043318
2022-12-15,9.600000,9.645000,9.327000,9.346000,8.523564,13477122
2022-12-16,9.340000,9.415000,9.325000,9.384000,8.558221,13139654
2022-12-19,9.400000,9.524000,9.396000,9.449000,8.617501,7343752
2022-12-20,9.436000,9.596000,9.357000,9.534000,8.695022,9115464
2022-12-21,9.558000,9.790000,9.536000,9.726000,8.870125,9867813
2022-12-22,9.750000,9.843000,9.707000,9.749000,8.891101,6440371
2022-12-23,9.764000,9.826000,9.740000,9.765000,8.905694,5137042
2022-12-27,9.810000,9.879000,9.809000,9.831000,8.965886,4542669
2022-12-28,9.845000,9.883000,9.803000,9.824000,8.959502,4987440
2022-12-29,9.808000,9.939000,9.792000,9.860000,8.992333,5938205
2022-12-30,9.850000,9.872000,9.801000,9.831000,8.965886,5032363
2023-01-02,9.896000,10.104000,9.883000,9.986000,9.107245,7204863
2023-01-03,10.000000,10.230000,9.984000,10.112000,9.222158,9056920
2023-01-04,10.160000,10.414000,10.146000,10.378000,9.464750,11275280
2023-01-05,10.350000,10.472000,10.260000,10.400000,9.484814,8354920
2023-01-06,10.450000,10.528000,10.384000,10.518000,9.592430,7608068
2023-01-09,10.540000,10.582000,10.484000,10.526000,9.599727,5891723
2023-01-10,10.486000,10.556000,10.404000,10.476000,9.554126,6129699
2023-01-11,10.482000,10.518000,10.400000,10.426000,9.508526,5878246
2023-01-12,10.470000,10.588000,10.470000,10.522000,9.596079,8023195
2023-01-13,10.518000,10.540000,10.418000,10.488000,9.565070,7019681
2023-01-16,10.500000,10.646000,10.500000,10.606000,9.672687,5415650
2023-01-17,10.620000,10.650000,10.484000,10.572000,9.641678,6782138
2023-01-18,10.580000,10.678000,10.576000,10.602000,9.669039,5529151
2023-01-19,10.448000,10.552000,10.380000,10.434000,9.515822,7505304
2023-01-20,10.462000,10.554000,10.462000,10.514000,9.588782,4718388
2023-01-23,10.582000,10.666000,10.566000,10.578000,9.647151,4704373
2023-01-24,10.650000,10.704000,10.578000,10.654000,9.716463,5356082
2023-01-25,10.660000,10.686000,10.582000,10.686000,9.745646,4865203
2023-01-26,10.732000,10.854000,10.732000,10.852000,9.897039,6064802
2023-01-27,10.894000,10.962000,10.854000,10.956000,9.991887,6438932
2023-01-30,10.946000,11.016000,10.930000,10.942000,9.979119,5437264
2023-01-31,11.012000,11.098000,10.946000,11.036000,10.064847,5730158
2023-02-01,11.036000,11.106000,11.020000,11.074000,10.099504,6095479
2023-02-02,11.050000,11.222000,11.044000,11.188000,10.203471,9718815
2023-02-03,11.216000,11.276000,11.104000,11.260000,10.269135,8096680
2023-02-06,11.180000,11.202000,11.030000,11.046000,10.073967,7931401
2023-02-07,11.066000,11.214000,10.992000,11.142000,10.161519,6141362
2023-02-08,11.200000,11.314000,11.134000,11.216000,10.229007,9286949
2023-02-09,11.460000,11.938000,11.460000,11.694000,10.664945,15227087
2023-02-10,11.630000,11.666000,11.490000,11.564000,10.546384,8058118
2023-02-13,11.600000,11.646000,11.534000,11.544000,10.528144,5101147
2023-02-14,11.582000,11.632000,11.514000,11.564000,10.546384,5530299
2023-02-15,11.538000,11.608000,11.506000,11.584000,10.564624,5139795
2023-02-16,11.600000,11.840000,11.600000,11.800000,10.761617,6174670
2023-02-17,11.700000,11.756000,11.606000,11.750000,10.716016,6053902
2023-02-20,11.766000,11.810000,11.670000,11.688000,10.659472,4425449
2023-02-21,11.666000,11.726000,11.508000,11.620000,10.597456,6682249
2023-02-22,11.570000,11.612000,11.342000,11.386000,10.384048,9120728
2023-02-23,11.400000,11.498000,11.388000,11.474000,10.464304,7400862
2023-02-24,11.500000,11.536000,11.334000,11.350000,10.351216,7183366
2023-02-27,11.360000,11.522000,11.360000,11.468000,10.458832,5804145
2023-02-28,11.410000,11.672000,11.354000,11.562000,10.544560,8200906
2023-03-01,11.560000,11.562000,11.360000,11.390000,10.387696,7695962
2023-03-02,11.314000,11.332000,11.188000,11.302000,10.307440,6813232
2023-03-03,11.336000,11.462000,11.336000,11.422000,10.416880,5737471
2023-03-06,11.490000,11.546000,11.458000,11.530000,10.515375,8683523
2023-03-07,11.516000,11.554000,11.380000,11.396000,10.393167,5768343
2023-03-08,11.320000,11.484000,11.320000,11.438000,10.431472,5779214
2023-03-09,11.430000,11.446000,11.268000,11.300000,10.305615,7140334
2023-03-10,10.998000,11.020000,10.840000,11.020000,10.050256,15970680
2023-03-13,11.006000,11.016000,10.458000,10.682000,9.741999,18772761
2023-03-14,10.634000,10.904000,10.508000,10.784000,9.835023,11439419
2023-03-15,10.848000,10.854000,10.064000,10.222000,9.322478,23041926
2023-03-16,10.520000,10.612000,10.016000,10.224000,9.324302,15128967
2023-03-17,10.338000,10.400000,9.961000,9.990000,9.110893,27763995
2023-03-20,9.749000,10.150000,9.540000,10.056000,9.171085,17784283
2023-03-21,10.256000,10.362000,10.190000,10.282000,9.377197,11558870
2023-03-22,10.328000,10.458000,10.240000,10.262000,9.358958,7624381
2023-03-23,10.178000,10.292000,10.080000,10.150000,9.256814,7284529
2023-03-24,10.096000,10.098000,9.695000,9.941000,9.066206,14407603
2023-03-27,10.110000,10.184000,9.887000,10.030000,9.147373,9298374
2023-03-28,10.150000,10.230000,9.931000,10.070000,9.183853,8718072
2023-03-29,10.150000,10.290000,10.086000,10.252000,9.349838,9055019
2023-03-30,10.320000,10.472000,10.312000,10.370000,9.457454,8030186
2023-03-31,10.386000,10.436000,10.264000,10.398000,9.482990,6327116
2023-04-03,10.466000,10.584000,10.420000,10.468000,9.546831,5742684
2023-04-04,10.530000,10.648000,10.472000,10.472000,9.550479,4591155
2023-04-05,10.550000,10.550000,10.350000,10.470000,9.548655,6201903
2023-04-06,10.512000,10.664000,10.478000,10.608000,9.674510,6835910
2023-04-11,10.730000,10.740000,10.644000,10.660000,9.721934,5825652
2023-04-12,10.724000,10.808000,10.684000,10.706000,9.763887,5120621
2023-04-13,10.746000,10.772000,10.660000,10.710000,9.767534,3492711
2023-04-14,10.740000,10.976000,10.696000,10.956000,9.991887,8197228
2023-04-17,10.980000,11.018000,10.750000,10.820000,9.867854,7328049
2023-04-18,10.850000,10.988000,10.834000,10.880000,9.922575,6036154
2023-04-19,10.882000,11.046000,10.882000,11.018000,10.048430,6147763
2023-04-20,11.100000,11.160000,10.908000,10.980000,10.013775,5763881
2023-04-21,10.962000,11.000000,10.812000,10.886000,9.928046,4930050
2023-04-24,10.850000,11.014000,10.830000,10.976000,10.010127,4586241
2023-04-25,10.900000,10.904000,10.764000,10.812000,9.860559,6766260
2023-04-26,10.790000,10.936000,10.650000,10.918000,9.957232,8399039
2023-04-27,10.910000,11.108000,10.856000,11.056000,10.083087,6862876
2023-04-28,11.044000,11.124000,10.852000,11.084000,10.108623,6934519
2023-05-02,11.110000,11.188000,10.908000,10.950000,9.986415,7038090
2023-05-03,11.034000,11.050000,10.852000,10.866000,9.909807,4143711
2023-05-04,10.838000,10.930000,10.658000,10.736000,9.791246,7037079
2023-05-05,10.840000,11.096000,10.772000,11.062000,10.088559,8223875
2023-05-08,11.094000,11.190000,11.080000,11.138000,10.157871,4774307
2023-05-09,11.120000,11.218000,11.078000,11.144000,10.163343,5689347
2023-05-10,11.374000,11.836000,11.374000,11.706000,10.675888,15674292
2023-05-11,11.730000,11.822000,11.356000,11.552000,10.535439,9146087
2023-05-12,11.610000,11.886000,11.604000,11.718000,10.686832,6449859
2023-05-15,11.776000,11.814000,11.602000,11.678000,10.650352,5374285
2023-05-16,11.650000,11.830000,11.630000,11.728000,10.695951,4946963
2023-05-17,11.672000,11.710000,11.586000,11.694000,10.664945,4096275
2023-05-18,11.760000,11.914000,11.754000,11.810000,10.770737,5475090
2023-05-19,11.812000,11.974000,11.780000,11.870000,10.825457,5465922
2023-05-22,11.930000,11.946000,11.852000,11.924000,10.874704,4675700
2023-05-23,11.930000,12.008000,11.868000,11.962000,10.909360,4993918
2023-05-24,11.910000,11.918000,11.740000,11.826000,10.785329,7166046
2023-05-25,11.868000,11.872000,11.672000,11.822000,10.781680,5824239
2023-05-26,11.890000,11.958000,11.754000,11.910000,10.861937,6315149
2023-05-29,12.000000,12.034000,11.846000,11.932000,10.882001,6747312
2023-05-30,10.936000,10.978000,10.732000,10.732000,10.732000,9333989
2023-05-31,10.700000,10.778000,10.624000,10.692000,10.692000,23912829
2023-06-01,null,null,null,null,null,null
2023-06-02,10.740000,10.954000,10.728000,10.954000,10.954000,6852822
2023-06-05,10.980000,11.026000,10.774000,10.832000,10.832000,5524843
2023-06-06,10.790000,10.852000,10.700000,10.852000,10.852000,5558334
2023-06-07,10.900000,10.900000,10.740000,10.850000,10.850000,3665798
2023-06-08,10.920000,11.036000,10.918000,10.932000,10.932000,4522273
2023-06-09,10.968000,10.998000,10.752000,10.832000,10.832000,5035909
2023-06-12,10.854000,10.902000,10.768000,10.790000,10.790000,4095673
2023-06-13,10.820000,10.854000,10.706000,10.854000,10.854000,6294469
2023-06-14,10.860000,11.024000,10.844000,10.960000,10.960000,5790185
2023-06-15,10.910000,10.926000,10.766000,10.844000,10.844000,5263647
2023-06-16,10.850000,10.882000,10.760000,10.834000,10.834000,14272248
2023-06-19,10.824000,10.984000,10.804000,10.866000,10.866000,5030910
2023-06-20,10.820000,10.858000,10.750000,10.814000,10.814000,4006710
2023-06-21,10.804000,10.906000,10.780000,10.824000,10.824000,3731162
2023-06-22,10.770000,10.776000,10.564000,10.624000,10.624000,5530264
2023-06-23,10.570000,10.572000,10.394000,10.470000,10.470000,5890425
2023-06-26,10.470000,10.478000,10.220000,10.448000,10.448000,5975513
2023-06-27,10.532000,10.626000,10.444000,10.596000,10.596000,4570440
2023-06-28,10.630000,10.664000,10.526000,10.654000,10.654000,3597304
2023-06-29,10.670000,10.832000,10.660000,10.796000,10.796000,3960745
2023-06-30,10.822000,10.992000,10.820000,10.872000,10.872000,7663744
2023-07-03,10.902000,10.970000,10.860000,10.932000,10.932000,3888850
2023-07-04,10.960000,11.012000,10.838000,10.866000,10.866000,3650070
2023-07-05,10.814000,10.826000,10.726000,10.818000,10.818000,4879939
2023-07-06,10.720000,10.720000,10.424000,10.494000,10.494000,7761449
